done,rank,ticket_id,title,epic,priority,size,milestone,type,sprint,is_mvp,key_dependencies,notes
done,1,RPA-001,Lock the Product Contract / Privacy Modes / Domain Model,Foundation,P0,M,Milestone A,Design,1,YES,None,"Start here. Everything else references this document. Block sprint 2 if not done."
done,2,RPA-002,Design the Report Schema / Evidence Model / Confidence Model,Foundation,P0,M,Milestone A,Design,1,YES,RPA-001,"Define JSON schema + sample artifacts. UI and backend both consume this. Blocks RPA-040/041/042/044."
done,3,RPA-010,Build the Desktop Shell / Navigation / Workspace Lifecycle,Platform,P0,L,Milestone B,UI/UX,1,YES,RPA-001,"Core Electron+React shell. Route structure + workspace CRUD. IPC boundary. Security baseline mandatory here."
done,4,RPA-011,Design Local Storage / Secure Secrets / Settings Service,Platform,P0,M,Milestone B,Backend,2,YES,RPA-010,"SQLite schema + OS keychain. Every provider and code-host ticket depends on this for token storage."
done,5,RPA-020,Design the LLM Provider Abstraction and Capability Matrix,Providers,P0,M,Milestone C,Backend,2,YES,"RPA-001, RPA-011","Pure interface layer. Build this before any adapter. Structured generation must be first-class."
done,6,RPA-012,Build Job Orchestration / Progress / Cancellation / Resumability,Platform,P1,M,Milestone B,Backend + UI,2,YES,"RPA-010, RPA-011","Job state machine + progress panel UI. Required before any long-running pipeline ticket is buildable."
done,7,RPA-021,Integrate Local Model Connectors (Ollama / LM Studio / Generic),Providers,P0,M,Milestone C,Backend + UI,3,YES,RPA-020,"Ollama + LM Studio adapters. Enables fully offline flow. Local privacy badge in UI."
not done,8,RPA-023,GitHub Integration: Auth / Repository Discovery / Permission Flow,Code Hosts,P0,M,Milestone C,Backend + UI,3,YES,RPA-011,"OAuth device flow. Repo listing + search. Secure token storage. Required for RPA-030."
not done,9,RPA-025,Local Folder Import: Open a Local Repository Without a Code Host,Code Hosts,P0,S,Milestone C,Backend + UI,3,YES,"RPA-011, RPA-030","[NEW] Folder-picker dialog + git metadata reader. Self-contained Strict Local Mode. No OAuth needed."
not done,10,RPA-030,Repository Clone/Sync Engine with Snapshot Model,Ingestion,P0,L,Milestone D,Backend,3,YES,"RPA-012, RPA-023","Snapshot tied to commit hash. Path locking. Preflight checks. Foundation for all indexing tickets."
not done,11,RPA-036,Repository Setup Screen: Branch / Sync Settings / Per-Repo Ignore Override,Analysis UX,P1,S,Milestone D,UI/UX,4,YES,"RPA-023, RPA-024, RPA-025, RPA-030, RPA-031","[NEW] Branch/ref picker + sync settings + per-repo ignore overrides. Feeds correct inputs into clone and manifest engines."
not done,12,RPA-031,File Manifest / Ignore Engine / Language Detection / Classification,Ingestion,P0,M,Milestone D,Backend,4,YES,RPA-030,"Clean manifest is the gate to all downstream analysis. Custom ignore settings UI (minor)."
not done,13,RPA-032,Symbol Extraction and Repo Map Generation (Tree-sitter),Intelligence,P0,L,Milestone D,Backend,4,YES,RPA-031,"Tree-sitter integration. Symbol records. Repo map artifact. Lexical fallback. Parse coverage stats."
not done,14,RPA-033,Build the Structural Graph: Imports / Boundaries / Entrypoints,Intelligence,P1,L,Milestone D,Backend,5,NO,"RPA-031, RPA-032","Import graph + entrypoint detection + graph metrics. Not MVP but strongly improves analysis quality."
not done,15,RPA-034,Chunking / Embeddings / Lexical Search / Retrieval Layer,Intelligence,P1,L,Milestone D,Backend,5,NO,"RPA-031, RPA-032, RPA-033, RPA-020","Local embeddings by default. Hybrid retrieval. Section-specific retrievers. Not MVP but needed for full quality."
not done,16,RPA-035,Analysis Run Screen: Scan Mode / Privacy Mode Toggle / Progress UX,Analysis UX,P0,M,Milestone E,UI/UX,5,YES,"RPA-012, RPA-030, RPA-040, RPA-042","[NEW] Quick/Full scan selector + Strict Local/BYOK toggle + progress log + post-run summary card."
not done,17,RPA-040,Generate: Project Identity Card / Architecture Overview / Onboarding Digest,Analysis,P0,M,Milestone E,Backend + UI,6,YES,"RPA-002, RPA-032, RPA-033, RPA-034","First analysis output users see. Accuracy + readability over coverage. Viewer components included."
not done,18,RPA-042,Functionality-to-File Map / Important-Files Radar / Glossary,Analysis,P0,L,Milestone E,Backend + UI,6,YES,"RPA-032, RPA-033, RPA-034","Feature clustering engine + important file scorer + glossary extractor. Core differentiator."
not done,19,RPA-043,Report Viewer / Evidence Drawer / Export / Compare Runs,Analysis UX,P0,M,Milestone E,UI/UX,7,YES,"RPA-002, RPA-040, RPA-041, RPA-042","Primarily UI. Evidence drawer is the trust anchor—invest heavily here. JSON+Markdown export."
not done,20,RPA-041,Convention/Style Analyzer and Hidden Anti-Pattern Discovery,Analysis,P1,L,Milestone E,Backend + UI,7,NO,"RPA-031, RPA-032, RPA-033, RPA-034","Convention mining engine. Outlier detection. Key differentiator but comes after core sections."
