Ticket ID,Filename,Title,Epic,Priority,Effort,Milestone,Dependencies,Goal 
RPA-001,RPA-001_foundation_contract_and_domain_model.md,"Lock the product contract, privacy modes, and domain model",Foundation,P0,M,Milestone A,,"Lock the phase 1 scope, clearly define the two privacy modes, the main user journeys, and the core domain model to prevent product drift during implementation."
RPA-002,RPA-002_report_schema_and_confidence_model.md,"Design the report output schema, evidence model, and confidence model",Foundation,P0,M,Milestone A,RPA-001,"Turn the report into a structured artifact that can be tested, diffed, and rendered instead of a loose block of free-form markdown."
RPA-010,RPA-010_desktop_shell_and_workspace_lifecycle.md,"Build the desktop shell, navigation, and workspace lifecycle",Platform,P0,L,Milestone B,RPA-001,"Build a stable desktop application shell so the main flows have a home: home, provider setup, code host connections, repository setup, analysis run, report viewer, and settings."
RPA-011,RPA-011_storage_settings_and_secret_service.md,"Design local storage, secure secrets, and the settings service",Platform,P0,M,Milestone B,RPA-010,"Provide a proper local-first foundation for metadata, settings, and secrets so provider and code host tickets can integrate safely."
RPA-012,RPA-012_jobs_progress_and_resumability.md,"Build job orchestration, progress logging, cancellation, and resumability",Platform,P1,M,Milestone B,"RPA-010, RPA-011","Create the backbone for all long-running tasks such as clone, index, parse, report generation, and export. The user must always see what the app is doing, where it is, and be able to cancel or retry."
RPA-020,RPA-020_llm_provider_abstraction.md,"Design the abstraction for LLM providers and the capability matrix",Providers,P0,M,Milestone C,"RPA-001, RPA-011","Create a unified adapter layer so the app does not become vendor-locked in the codebase. This is the backbone for both local and cloud providers."
RPA-021,RPA-021_local_provider_connectors.md,"Integrate local model connectors: Ollama, LM Studio, and a generic OpenAI-compatible local server",Providers,P0,M,Milestone C,RPA-020,"Allow the user to run fully local with Ollama, LM Studio, or any OpenAI-compatible local server without needing a cloud provider."
RPA-022,RPA-022_cloud_provider_connectors.md,"Integrate cloud providers: OpenAI, Anthropic, Gemini, and DeepSeek",Providers,P1,L,Milestone C,"RPA-020, RPA-011","Support BYOK cloud mode for the four primary providers required by the original idea, while still preserving privacy warnings and a clean abstraction."
RPA-023,RPA-023_github_integration.md,"GitHub integration: authentication, repository discovery, and repository permission flow",Code Hosts,P0,M,Milestone C,RPA-011,"Allow the user to connect GitHub, view accessible repositories, select a repository, and prepare metadata for clone and sync."
RPA-024,RPA-024_bitbucket_integration.md,"Bitbucket integration: OAuth 2.0, API token/SSH clone strategy, and repository discovery",Code Hosts,P1,L,Milestone C,RPA-011,"Support Bitbucket well enough for enterprise use cases, while correctly reflecting the platform’s recent changes around app passwords and API tokens."
RPA-030,RPA-030_repo_clone_and_sync_engine.md,"Repository clone/sync engine with a snapshot model and large-repo strategy",Ingestion,P0,L,Milestone D,"RPA-012, RPA-023","Clone and sync repositories locally in a stable way, with a clear snapshot model that is strong enough to support incremental indexing and rerun analysis."
RPA-031,RPA-031_file_manifest_and_classification.md,"File manifest, ignore engine, language detection, and file classification",Ingestion,P0,M,Milestone D,RPA-030,"Turn the raw repository into a clean manifest: which files should be indexed, which should be ignored, and which are tests, config, generated, docs, or secret-risk files."
RPA-032,RPA-032_symbol_extraction_and_repo_map.md,"Symbol extraction and repo map generation using Tree-sitter / syntax-aware parsing",Intelligence,P0,L,Milestone D,RPA-031,"Extract important symbols from the codebase and build a concise repo map to serve as the backbone for retrieval and report generation."
RPA-033,RPA-033_structural_graph_and_entrypoints.md,"Build the structural graph: imports, boundaries, entrypoints, and module relations",Intelligence,P1,L,Milestone D,"RPA-031, RPA-032","Build a graph/relationship layer strong enough for the app to infer architecture, boundaries, and important files instead of merely listing symbols."
RPA-034,RPA-034_chunking_embeddings_and_retrieval.md,"Chunking, embeddings, lexical search, and retrieval layer for section-specific context",Intelligence,P1,L,Milestone D,"RPA-031, RPA-032, RPA-033, RPA-020","Create a retrieval layer smart enough to provide each report section with the right type, amount, and evidence-backed context."
RPA-040,RPA-040_project_identity_architecture_onboarding.md,"Generate the Project Identity Card, Architecture Overview, and Onboarding Digest",Analysis,P0,M,Milestone E,"RPA-002, RPA-032, RPA-033, RPA-034","Generate the three sections with the highest immediate onboarding value: what this repository does, its initial architecture view, and where a reader should start."
RPA-041,RPA-041_convention_and_anti_pattern_analysis.md,"Convention/style analyzer and hidden anti-pattern discovery",Analysis,P1,L,Milestone E,"RPA-031, RPA-032, RPA-033, RPA-034","Extract the repository’s real coding conventions and hidden 'do not do this' patterns by combining statistics, AST patterns, and boundary heuristics."
RPA-042,RPA-042_feature_map_important_files_glossary.md,"Functionality-to-file map, important files radar, and glossary extraction",Analysis,P0,L,Milestone E,"RPA-032, RPA-033, RPA-034","Answer the core pain point directly: where the main functionality lives, which files are the core of each functionality, and which files are the backbone of the whole repository."
RPA-043,RPA-043_report_viewer_export_compare_runs.md,"Report viewer, evidence drawer, export, and compare runs",Analysis UX,P0,M,Milestone E,"RPA-002, RPA-040, RPA-041, RPA-042","Turn analysis artifacts into an experience that can be read, navigated, exported, and compared across scan runs."
RPA-050,RPA-050_evaluation_harness_and_quality_gates.md,"Evaluation harness, golden repositories, and quality gates against hallucination",Quality,P1,M,Milestone F,"RPA-032, RPA-033, RPA-034, RPA-040, RPA-041, RPA-042","Create a real quality measurement system for the report instead of relying on subjective impressions, and define the minimum quality gate before internal shipping."
RPA-051,RPA-051_security_hardening_and_internal_release.md,"Security/privacy hardening, packaging, and internal release readiness",Release,P1,M,Milestone F,"RPA-010, RPA-011, RPA-022, RPA-023, RPA-024, RPA-043, RPA-050","Turn the app from a prototype into something that can be installed and used internally without feeling dangerously fragile in terms of security and privacy."
